Designator,Mid X,Mid Y,Layer,Rotation
"C1",4.8000,1.2000,top,0.0000
"C2",7.3000,1.2500,top,180.0000
"C3",9.9500,15.7000,top,0.0000
"C4",10.0100,0.9750,top,0.0000
"C5",9.9500,12.0750,top,0.0000
"J2",6.6500,3.7500,top,180.0000
"R1",9.9700,17.7400,top,180.0000
"R2",9.9700,16.7200,top,0.0000
"R3",10.0300,3.1000,top,0.0000
"R4",10.0300,1.9875,top,180.0000
"R5",9.9700,14.1250,top,0.0000
"R6",9.9700,13.1000,top,0.0000
"R7",18.3782,18.3748,top,45.0000
"R8",17.7082,19.0448,top,225.0000
"S1",25.4500,10.0500,top,180.0000
